Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 20:26,"οὐχ οὕτως ἔσται ἐν ὑμῖν,",ἀλλʼ,"ὃς ἐὰν θέλῃ ἐν ὑμῖν μέγας γενέσθαι ἔσται ὑμῶν διάκονος,",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 20:28,ὥσπερ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι,ἀλλὰ,διακονῆσαι καὶ δοῦναι τὴν ψυχὴν αὐτοῦ λύτρον ἀντὶ πολλῶν.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 21:21,"ἐὰν ἔχητε πίστιν καὶ μὴ διακριθῆτε, οὐ μόνον τὸ τῆς συκῆς ποιήσετε,",ἀλλὰ,"κἂν τῷ ὄρει τούτῳ εἴπητε· ἄρθητι καὶ βλήθητι εἰς τὴν θάλασσαν, γενήσεται·",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 22:30,"ἐν γὰρ τῇ ἀναστάσει οὔτε γαμοῦσιν οὔτε γαμίζονται,",ἀλλʼ,ὡς ἄγγελοι ἐν τῷ οὐρανῷ εἰσιν.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 22:32,ἐγώ εἰμι ὁ θεὸς Ἀβραὰμ καὶ ὁ θεὸς Ἰσαὰκ καὶ ὁ θεὸς Ἰακώβ; οὐκ ἔστιν [ὁ] θεὸς νεκρῶν,ἀλλὰ,ζώντων.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 24:6,"μελλήσετε δὲ ἀκούειν πολέμους καὶ ἀκοὰς πολέμων· ὁρᾶτε μὴ θροεῖσθε· δεῖ γὰρ  γενέσθαι,",ἀλλʼ,οὔπω ἐστὶν τὸ τέλος.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 26:39,"ἐστιν, παρελθάτω ἀπʼ ἐμοῦ τὸ ποτήριον τοῦτο·  πλὴν οὐχ ὡς ἐγὼ θέλω",ἀλλʼ,ὡς σύ.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 27:24,Ἰδὼν δὲ ὁ Πιλᾶτος ὅτι οὐδὲν ὠφελεῖ,ἀλλὰ,"μᾶλλον θόρυβος γίνεται, λαβὼν ὕδωρ ἀπενίψατο τὰς χεῖρας ἀπέναντι τοῦ ὄχλου λέγων· ἀθῷός",ἀλλά,Louw Nida 91.2,αλλος,conjunction,—
NA28,Mark 1:44,"καὶ λέγει αὐτῷ· ὅρα μηδενὶ μηδὲν εἴπῃς,",ἀλλʼ,"ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου ἃ προσέταξεν Μωϋσῆς, εἰς μαρτύριον αὐτοῖς.",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Mark 1:45,"Ὁ δὲ ἐξελθὼν ἤρξατο κηρύσσειν πολλὰ καὶ διαφημίζειν τὸν λόγον, ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν,",ἀλλʼ,ἔξω ἐπʼ ἐρήμοις τόποις ἦν· καὶ ἤρχοντο πρὸς αὐτὸν πάντοθεν.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
