Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Luke 4:23,"καὶ εἶπεν πρὸς αὐτούς· πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην· ἰατρέ, θεράπευσον σεαυτόν·",ὅσα,ἠκούσαμεν γενόμενα εἰς τὴν Καφαρναοὺμ ποίησον καὶ ὧδε ἐν τῇ πατρίδι σου.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Luke 4:40,Δύνοντος δὲ τοῦ ἡλίου ἅπαντες,ὅσοι,εἶχον ἀσθενοῦντας νόσοις ποικίλαις ἤγαγον αὐτοὺς πρὸς αὐτόν· ὁ δὲ ἑνὶ ἑκάστῳ αὐτῶν,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Luke 8:39,ὑπόστρεφε εἰς τὸν οἶκόν σου καὶ διηγοῦ,ὅσα,σοι ἐποίησεν ὁ θεός. καὶ ἀπῆλθεν καθʼ ὅλην τὴν πόλιν κηρύσσων ὅσα ἐποίησεν αὐτῷ ὁ Ἰησοῦς.,ὅσος,Louw Nida 78.52,οσος,pronoun,—
NA28,Luke 8:39,ὅσα σοι ἐποίησεν ὁ θεός. καὶ ἀπῆλθεν καθʼ ὅλην τὴν πόλιν κηρύσσων,ὅσα,ἐποίησεν αὐτῷ ὁ Ἰησοῦς.,ὅσος,Louw Nida 78.52,οσος,pronoun,—
NA28,Luke 9:5,καὶ,ὅσοι,"ἂν μὴ δέχωνται ὑμᾶς, ἐξερχόμενοι ἀπὸ τῆς πόλεως ἐκείνης  τὸν κονιορτὸν ἀπὸ τῶν",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Luke 9:10,Καὶ ὑποστρέψαντες οἱ ἀπόστολοι διηγήσαντο αὐτῷ,ὅσα,ἐποίησαν. Καὶ παραλαβὼν αὐτοὺς ὑπεχώρησεν κατʼ ἰδίαν εἰς πόλιν καλουμένην Βηθσαϊδά.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Luke 11:8,"τὸ εἶναι φίλον αὐτοῦ, διά γε τὴν ἀναίδειαν αὐτοῦ ἐγερθεὶς δώσει αὐτῷ",ὅσων,χρῄζει.,ὅσος,Louw Nida 59.19,οσος,pronoun,—
NA28,Luke 12:3,ἀνθʼ ὧν,ὅσα,"ἐν τῇ σκοτίᾳ εἴπατε ἐν τῷ φωτὶ ἀκουσθήσεται, καὶ ὃ πρὸς τὸ οὖς",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Luke 18:12,"νηστεύω δὶς τοῦ σαββάτου, ἀποδεκατῶ πάντα",ὅσα,κτῶμαι.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Luke 18:22,ἀκούσας δὲ  ὁ Ἰησοῦς εἶπεν αὐτῷ· ἔτι ἕν σοι λείπει· πάντα,ὅσα,"ἔχεις πώλησον καὶ διάδος πτωχοῖς, καὶ ἕξεις θησαυρὸν ἐν [τοῖς] οὐρανοῖς, καὶ δεῦρο ἀκολούθει μοι.",ὅσος,Louw Nida 59.19,οσος,pronoun,—
