Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 14:7,λέγων ἐν,"μεγάλῃ·      φοβήθητε τὸν θεὸν καὶ δότε αὐτῷ δόξαν, ὅτι ἦλθεν ἡ ὥρα τῆς"
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 14:9,Καὶ ἄλλος ἄγγελος τρίτος ἠκολούθησεν αὐτοῖς λέγων ἐν,μεγάλῃ·      εἴ τις προσκυνεῖ τὸ θηρίον καὶ τὴν εἰκόνα αὐτοῦ καὶ λαμβάνει χάραγμα
φωνῆς,φωνή,—,—,—,—,feminine,genitive,singular,Revelation 14:13,Καὶ ἤκουσα,ἐκ τοῦ οὐρανοῦ λεγούσης· γράψον·      μακάριοι οἱ νεκροὶ οἱ ἐν κυρίῳ ἀποθνῄσκοντες ἀπʼ
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 14:15,καὶ ἄλλος ἄγγελος ἐξῆλθεν ἐκ τοῦ ναοῦ  κράζων ἐν,"μεγάλῃ τῷ καθημένῳ ἐπὶ τῆς νεφέλης·      πέμψον τὸ δρέπανόν σου καὶ θέρισον, ὅτι"
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 14:18,"καὶ ἄλλος ἄγγελος [ἐξῆλθεν] ἐκ τοῦ θυσιαστηρίου [ὁ] ἔχων ἐξουσίαν ἐπὶ τοῦ πυρός, καὶ ἐφώνησεν",μεγάλῃ τῷ ἔχοντι τὸ δρέπανον τὸ ὀξὺ λέγων· πέμψον σου τὸ δρέπανον τὸ
φωνῆς,φωνή,—,—,—,—,feminine,genitive,singular,Revelation 16:1,Καὶ ἤκουσα μεγάλης,ἐκ τοῦ ναοῦ λεγούσης τοῖς ἑπτὰ ἀγγέλοις· ὑπάγετε καὶ ἐκχέετε τὰς ἑπτὰ φιάλας
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 16:17,"Καὶ ὁ ἕβδομος  ἐξέχεεν τὴν φιάλην αὐτοῦ ἐπὶ τὸν ἀέρα, καὶ ἐξῆλθεν",μεγάλη ἐκ τοῦ ναοῦ ἀπὸ τοῦ θρόνου λέγουσα· γέγονεν.
φωναὶ,φωνή,—,—,—,—,feminine,nominative,plural,Revelation 16:18,καὶ ἐγένοντο ἀστραπαὶ καὶ,"καὶ βρονταὶ καὶ σεισμὸς ἐγένετο μέγας, οἷος οὐκ ἐγένετο ἀφʼ οὗ ἄνθρωπος ἐγένετο"
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 18:2,καὶ ἔκραξεν ἐν ἰσχυρᾷ,"λέγων·      ἔπεσεν ἔπεσεν Βαβυλὼν ἡ μεγάλη, καὶ ἐγένετο κατοικητήριον δαιμονίων καὶ φυλακὴ παντὸς"
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 18:4,Καὶ ἤκουσα ἄλλην,ἐκ τοῦ οὐρανοῦ λέγουσαν·       ἐξέλθατε ὁ λαός μου ἐξ αὐτῆς ἵνα μὴ συγκοινωνήσητε
