Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
βάλλει,βάλλω,present,active,indicative,third person,singular,Mark 2:22,καὶ οὐδεὶς,"οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή, ῥήξει ὁ οἶνος τοὺς ἀσκοὺς"
βάλλει,βάλλω,present,active,indicative,third person,singular,Mark 12:41,Καὶ καθίσας κατέναντι τοῦ γαζοφυλακίου ἐθεώρει πῶς ὁ ὄχλος,χαλκὸν εἰς τὸ γαζοφυλάκιον. καὶ πολλοὶ πλούσιοι ἔβαλλον πολλά·
βάλλει,βάλλω,present,active,indicative,third person,singular,Luke 5:37,καὶ οὐδεὶς,"οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή γε, ῥήξει ὁ οἶνος ὁ"
βάλλει,βάλλω,present,active,indicative,third person,singular,John 13:5,εἶτα,ὕδωρ εἰς τὸν νιπτῆρα καὶ ἤρξατο νίπτειν τοὺς πόδας τῶν μαθητῶν καὶ ἐκμάσσειν
βάλλει,βάλλω,present,active,indicative,third person,singular,Revelation 6:13,"καὶ οἱ ἀστέρες τοῦ οὐρανοῦ ἔπεσαν εἰς τὴν γῆν, ὡς συκῆ","τοὺς ὀλύνθους αὐτῆς ὑπὸ ἀνέμου μεγάλου σειομένη,"
βάλητε,βάλλω,aorist,active,subjunctive,second person,plural,Matthew 7:6,Μὴ δῶτε τὸ ἅγιον τοῖς κυσὶν μηδὲ,"τοὺς μαργαρίτας ὑμῶν ἔμπροσθεν τῶν χοίρων, μήποτε καταπατήσουσιν αὐτοὺς ἐν τοῖς ποσὶν αὐτῶν καὶ στραφέντες ῥήξωσιν ὑμᾶς."
βάλετε,βάλλω,aorist,active,imperative,second person,plural,John 21:6,ὁ δὲ εἶπεν αὐτοῖς·,"εἰς τὰ δεξιὰ μέρη τοῦ πλοίου τὸ δίκτυον, καὶ εὑρήσετε.  ἔβαλον οὖν, καὶ"
βάλε,βάλλω,aorist,active,imperative,second person,singular,Matthew 4:6,"καὶ λέγει αὐτῷ· εἰ υἱὸς εἶ τοῦ θεοῦ,",σεαυτὸν  κάτω· γέγραπται γὰρ ὅτι        τοῖς ἀγγέλοις αὐτοῦ ἐντελεῖται περὶ σοῦ        καὶ ἐπὶ
βάλε,βάλλω,aorist,active,imperative,second person,singular,Matthew 5:29,"Εἰ δὲ ὁ ὀφθαλμός σου ὁ δεξιὸς σκανδαλίζει σε, ἔξελε αὐτὸν καὶ",ἀπὸ σοῦ· συμφέρει γάρ σοι ἵνα ἀπόληται ἓν τῶν μελῶν σου καὶ μὴ
βάλε,βάλλω,aorist,active,imperative,second person,singular,Matthew 5:30,"καὶ εἰ ἡ δεξιά σου χεὶρ σκανδαλίζει σε, ἔκκοψον αὐτὴν καὶ",ἀπὸ σοῦ· συμφέρει γάρ σοι ἵνα ἀπόληται ἓν τῶν μελῶν σου καὶ μὴ
βάλε,βάλλω,aorist,active,imperative,second person,singular,Matthew 17:27,"ἵνα δὲ μὴ σκανδαλίσωμεν αὐτούς, πορευθεὶς εἰς  θάλασσαν","ἄγκιστρον καὶ τὸν ἀναβάντα πρῶτον ἰχθὺν ἆρον, καὶ ἀνοίξας τὸ στόμα αὐτοῦ εὑρήσεις"
βάλε,βάλλω,aorist,active,imperative,second person,singular,Matthew 18:8,"Εἰ δὲ ἡ χείρ σου ἢ ὁ πούς σου σκανδαλίζει σε, ἔκκοψον αὐτὸν καὶ",ἀπὸ σοῦ· καλόν σοί ἐστιν εἰσελθεῖν εἰς τὴν ζωὴν κυλλὸν ἢ χωλὸν ἢ
βάλε,βάλλω,aorist,active,imperative,second person,singular,Matthew 18:9,"καὶ εἰ ὁ ὀφθαλμός σου σκανδαλίζει σε, ἔξελε αὐτὸν καὶ",ἀπὸ σοῦ· καλόν σοί ἐστιν μονόφθαλμον εἰς τὴν ζωὴν εἰσελθεῖν ἢ δύο ὀφθαλμοὺς
βάλε,βάλλω,aorist,active,imperative,second person,singular,Luke 4:9,"τὸ πτερύγιον τοῦ ἱεροῦ καὶ εἶπεν αὐτῷ· εἰ υἱὸς εἶ τοῦ θεοῦ,",σεαυτὸν ἐντεῦθεν κάτω·
βάλε,βάλλω,aorist,active,imperative,second person,singular,John 18:11,εἶπεν οὖν ὁ Ἰησοῦς τῷ Πέτρῳ·,τὴν μάχαιραν εἰς τὴν θήκην· τὸ ποτήριον ὃ δέδωκέν μοι ὁ πατὴρ  οὐ μὴ πίω αὐτό;
βάλε,βάλλω,aorist,active,imperative,second person,singular,John 20:27,ὧδε καὶ ἴδε τὰς χεῖράς μου καὶ φέρε τὴν χεῖρά σου καὶ,"εἰς τὴν πλευράν μου, καὶ μὴ γίνου ἄπιστος ἀλλὰ πιστός."
