Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Mark 6:11,καὶ ὃς ἂν τόπος μὴ,"ὑμᾶς μηδὲ ἀκούσωσιν ὑμῶν, ἐκπορευόμενοι ἐκεῖθεν ἐκτινάξατε τὸν χοῦν τὸν ὑποκάτω τῶν ποδῶν ὑμῶν εἰς μαρτύριον αὐτοῖς."
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Mark 9:37,ὃς ἂν ἓν τῶν τοιούτων παιδίων,"ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέχηται, οὐκ ἐμὲ"
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Mark 10:15,"ἀμὴν λέγω ὑμῖν, ὃς ἂν μὴ","τὴν βασιλείαν τοῦ θεοῦ ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν."
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Luke 9:48,καὶ εἶπεν αὐτοῖς· ὃς ἐὰν,"τοῦτο τὸ παιδίον ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ"
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Luke 9:48,"τὸ παιδίον ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ",", δέχεται τὸν ἀποστείλαντά με· ὁ γὰρ μικρότερος ἐν πᾶσιν ὑμῖν ὑπάρχων οὗτός ἐστιν  μέγας."
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Luke 18:17,"ἀμὴν  λέγω ὑμῖν, ὃς ἂν μὴ","τὴν βασιλείαν τοῦ θεοῦ ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν."
δέξασθε,δέχομαι,aorist,middle,imperative,second person,plural,Ephesians 6:17,καὶ τὴν περικεφαλαίαν τοῦ σωτηρίου,"καὶ τὴν μάχαιραν τοῦ πνεύματος, ὅ ἐστιν ῥῆμα θεοῦ."
δέξασθε,δέχομαι,aorist,middle,imperative,second person,plural,Colossians 4:10,"Μᾶρκος ὁ ἀνεψιὸς Βαρναβᾶ περὶ οὗ ἐλάβετε ἐντολάς, ἐὰν ἔλθῃ πρὸς ὑμᾶς,",αὐτόν
δέξασθε,δέχομαι,aorist,middle,imperative,second person,plural,James 1:21,διὸ ἀποθέμενοι πᾶσαν ῥυπαρίαν καὶ περισσείαν κακίας ἐν πραΰτητι,τὸν ἔμφυτον λόγον τὸν δυνάμενον σῶσαι τὰς ψυχὰς ὑμῶν.
δέξασθαι,δέχομαι,aorist,middle,infinitive,—,—,Matthew 11:14,καὶ εἰ θέλετε,", αὐτός ἐστιν Ἠλίας ὁ μέλλων ἔρχεσθαι."
δέξασθαι,δέχομαι,aorist,middle,infinitive,—,—,Acts 3:21,ὃν δεῖ οὐρανὸν μὲν,ἄχρι χρόνων ἀποκαταστάσεως πάντων ὧν ἐλάλησεν ὁ θεὸς διὰ στόματος  τῶν ἁγίων ἀπʼ αἰῶνος αὐτοῦ προφητῶν.
δέξασθαι,δέχομαι,aorist,middle,infinitive,—,—,2 Corinthians 6:1,Συνεργοῦντες δὲ καὶ παρακαλοῦμεν μὴ εἰς κενὸν τὴν χάριν τοῦ θεοῦ,ὑμᾶς·
δέξασθέ,δέχομαι,aorist,middle,imperative,second person,plural,2 Corinthians 11:16,"Πάλιν λέγω, μή τίς με δόξῃ ἄφρονα εἶναι· εἰ δὲ μή γε, κἂν ὡς ἄφρονα","με, ἵνα κἀγὼ μικρόν τι καυχήσωμαι."
δέξαι,δέχομαι,aorist,middle,imperative,second person,singular,Luke 16:6,ὁ δὲ εἶπεν· ἑκατὸν βάτους ἐλαίου. ὁ δὲ εἶπεν αὐτῷ·,σου τὰ γράμματα καὶ καθίσας ταχέως γράψον πεντήκοντα.
δέξαι,δέχομαι,aorist,middle,imperative,second person,singular,Luke 16:7,ἔπειτα ἑτέρῳ εἶπεν· σὺ δὲ πόσον ὀφείλεις; ὁ δὲ εἶπεν· ἑκατὸν κόρους σίτου. λέγει αὐτῷ·,σου τὰ γράμματα καὶ γράψον ὀγδοήκοντα.
δέξαι,δέχομαι,aorist,middle,imperative,second person,singular,Acts 7:59,"καὶ ἐλιθοβόλουν τὸν Στέφανον ἐπικαλούμενον καὶ λέγοντα· κύριε Ἰησοῦ,",τὸ πνεῦμά μου.
δέδεκται,δέχομαι,perfect,either middle or passive,indicative,third person,singular,Acts 8:14,Ἀκούσαντες δὲ οἱ ἐν Ἱεροσολύμοις ἀπόστολοι ὅτι,"ἡ Σαμάρεια τὸν λόγον τοῦ θεοῦ, ἀπέστειλαν πρὸς αὐτοὺς Πέτρον καὶ Ἰωάννην,"
