Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 3:16,"οὕτως γὰρ ἠγάπησεν ὁ θεὸς τὸν κόσμον, ὥστε τὸν υἱὸν  τὸν μονογενῆ ἔδωκεν, ἵνα πᾶς ὁ",εἰς αὐτὸν μὴ ἀπόληται ἀλλʼ ἔχῃ ζωὴν αἰώνιον.
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 3:18,ὁ,"εἰς αὐτὸν οὐ κρίνεται· ὁ δὲ μὴ πιστεύων ἤδη κέκριται, ὅτι μὴ πεπίστευκεν"
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 3:18,ὁ πιστεύων εἰς αὐτὸν οὐ κρίνεται· ὁ δὲ μὴ,"ἤδη κέκριται, ὅτι μὴ πεπίστευκεν εἰς τὸ ὄνομα τοῦ μονογενοῦς υἱοῦ τοῦ θεοῦ."
πεπίστευκεν,πιστεύω,perfect,active,indicative,third person,—,—,singular,John 3:18,"ὁ πιστεύων εἰς αὐτὸν οὐ κρίνεται· ὁ δὲ μὴ πιστεύων ἤδη κέκριται, ὅτι μὴ",εἰς τὸ ὄνομα τοῦ μονογενοῦς υἱοῦ τοῦ θεοῦ.
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 3:36,ὁ,εἰς τὸν υἱὸν ἔχει ζωὴν αἰώνιον· ὁ δὲ ἀπειθῶν τῷ υἱῷ οὐκ ὄψεται
πίστευέ,πιστεύω,present,active,imperative,second person,—,—,singular,John 4:21,λέγει αὐτῇ ὁ Ἰησοῦς·,"μοι, γύναι, ὅτι ἔρχεται ὥρα ὅτε οὔτε ἐν τῷ ὄρει τούτῳ οὔτε ἐν Ἱεροσολύμοις προσκυνήσετε τῷ πατρί."
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 4:39,Ἐκ δὲ τῆς πόλεως ἐκείνης πολλοὶ,εἰς αὐτὸν τῶν Σαμαριτῶν διὰ τὸν λόγον τῆς γυναικὸς μαρτυρούσης ὅτι εἶπέν μοι πάντα ἃ ἐποίησα.
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 4:41,καὶ πολλῷ πλείους,"διὰ τὸν λόγον αὐτοῦ,"
πιστεύομεν,πιστεύω,present,active,indicative,first person,—,—,plural,John 4:42,τῇ τε γυναικὶ ἔλεγον ὅτι οὐκέτι διὰ τὴν σὴν λαλιὰν,", αὐτοὶ γὰρ ἀκηκόαμεν καὶ οἴδαμεν ὅτι οὗτός ἐστιν ἀληθῶς ὁ σωτὴρ τοῦ κόσμου."
πιστεύσητε,πιστεύω,aorist,active,subjunctive,second person,—,—,plural,John 4:48,"εἶπεν οὖν ὁ Ἰησοῦς πρὸς αὐτόν· ἐὰν μὴ σημεῖα καὶ τέρατα ἴδητε, οὐ μὴ",.
