Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Philippians 3:9,"καὶ εὑρεθῶ ἐν αὐτῷ, μὴ ἔχων ἐμὴν","τὴν ἐκ νόμου ἀλλὰ τὴν διὰ πίστεως Χριστοῦ, τὴν ἐκ θεοῦ δικαιοσύνην ἐπὶ τῇ πίστει,"
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Philippians 3:9,"δικαιοσύνην τὴν ἐκ νόμου ἀλλὰ τὴν διὰ πίστεως Χριστοῦ, τὴν ἐκ θεοῦ","ἐπὶ τῇ πίστει,"
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,1 Timothy 6:11,"Σὺ δέ, ὦ ἄνθρωπε  θεοῦ, ταῦτα φεῦγε·      δίωκε δὲ","εὐσέβειαν πίστιν,      ἀγάπην ὑπομονὴν πραϋπαθίαν."
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,2 Timothy 2:22,"Τὰς δὲ νεωτερικὰς ἐπιθυμίας φεῦγε, δίωκε δὲ",πίστιν ἀγάπην εἰρήνην μετὰ τῶν ἐπικαλουμένων τὸν κύριον ἐκ καθαρᾶς καρδίας.
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,2 Timothy 3:16,"πᾶσα γραφὴ θεόπνευστος καὶ ὠφέλιμος πρὸς διδασκαλίαν, πρὸς ἐλεγμόν, πρὸς ἐπανόρθωσιν, πρὸς παιδείαν τὴν ἐν",","
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Timothy 4:8,λοιπὸν ἀπόκειταί μοι ὁ τῆς,"στέφανος, ὃν ἀποδώσει μοι ὁ κύριος ἐν ἐκείνῃ τῇ ἡμέρᾳ, ὁ δίκαιος κριτής"
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,Titus 3:5,οὐκ ἐξ ἔργων τῶν ἐν,"ἃ ἐποιήσαμεν ἡμεῖς      ἀλλὰ κατὰ τὸ αὐτοῦ ἔλεος        ἔσωσεν ἡμᾶς διὰ λουτροῦ παλιγγενεσίας      καὶ ἀνακαινώσεως  πνεύματος ἁγίου,"
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Hebrews 1:9,ἠγάπησας,καὶ ἐμίσησας ἀνομίαν·      διὰ τοῦτο ἔχρισέν σε ὁ θεὸς ὁ θεός σου        ἔλαιον
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Hebrews 5:13,πᾶς γὰρ ὁ μετέχων γάλακτος ἄπειρος λόγου,", νήπιος γάρ  ἐστιν·"
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Hebrews 7:2,"ᾧ καὶ δεκάτην ἀπὸ πάντων ἐμέρισεν Ἀβραάμ, πρῶτον μὲν ἑρμηνευόμενος βασιλεὺς","ἔπειτα δὲ καὶ βασιλεὺς Σαλήμ, ὅ ἐστιν βασιλεὺς εἰρήνης,"
