Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Acts 4:27,συνήχθησαν γὰρ ἐπʼ,"ἐν τῇ πόλει ταύτῃ ἐπὶ τὸν ἅγιον παῖδά σου Ἰησοῦν ὃν ἔχρισας, Ἡρῴδης"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Acts 10:34,Ἀνοίξας δὲ Πέτρος τὸ στόμα εἶπεν· ἐπʼ,"καταλαμβάνομαι ὅτι οὐκ ἔστιν προσωπολήμπτης ὁ θεός,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Acts 26:25,"ὁ δὲ Παῦλος· οὐ μαίνομαι, φησίν, κράτιστε Φῆστε, ἀλλʼ",καὶ σωφροσύνης ῥήματα ἀποφθέγγομαι.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Romans 1:18,Ἀποκαλύπτεται γὰρ ὀργὴ θεοῦ ἀπʼ οὐρανοῦ ἐπὶ πᾶσαν ἀσέβειαν καὶ ἀδικίαν ἀνθρώπων τῶν τὴν,"ἐν ἀδικίᾳ κατεχόντων,"
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Romans 1:25,οἵτινες μετήλλαξαν τὴν,τοῦ θεοῦ ἐν τῷ ψεύδει καὶ ἐσεβάσθησαν καὶ ἐλάτρευσαν τῇ κτίσει παρὰ τὸν
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Romans 2:2,οἴδαμεν δὲ ὅτι τὸ κρίμα τοῦ θεοῦ ἐστιν κατὰ,ἐπὶ τοὺς τὰ τοιαῦτα πράσσοντας.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Romans 2:8,τοῖς δὲ ἐξ ἐριθείας καὶ ἀπειθοῦσιν  τῇ,πειθομένοις δὲ τῇ ἀδικίᾳ ὀργὴ καὶ θυμός.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Romans 2:20,"παιδευτὴν ἀφρόνων, διδάσκαλον νηπίων, ἔχοντα τὴν μόρφωσιν τῆς γνώσεως καὶ τῆς",ἐν τῷ νόμῳ·
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,Romans 3:7,εἰ δὲ ἡ,"τοῦ θεοῦ ἐν τῷ ἐμῷ ψεύσματι ἐπερίσσευσεν εἰς τὴν δόξαν αὐτοῦ, τί ἔτι κἀγὼ ὡς ἁμαρτωλὸς κρίνομαι;"
Ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Romans 9:1,—,"λέγω ἐν Χριστῷ, οὐ ψεύδομαι, συμμαρτυρούσης μοι τῆς συνειδήσεώς μου ἐν πνεύματι ἁγίῳ,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Romans 15:8,λέγω γὰρ Χριστὸν διάκονον γεγενῆσθαι περιτομῆς ὑπὲρ,"θεοῦ, εἰς τὸ βεβαιῶσαι τὰς ἐπαγγελίας τῶν πατέρων,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,1 Corinthians 5:8,ὥστε ἑορτάζωμεν μὴ ἐν ζύμῃ παλαιᾷ μηδὲ ἐν ζύμῃ κακίας καὶ πονηρίας ἀλλʼ ἐν ἀζύμοις εἰλικρινείας καὶ,.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,1 Corinthians 13:6,"οὐ χαίρει ἐπὶ τῇ ἀδικίᾳ, συγχαίρει δὲ τῇ",·
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Corinthians 4:2,ἐν πανουργίᾳ μηδὲ δολοῦντες τὸν λόγον τοῦ θεοῦ ἀλλὰ τῇ φανερώσει τῆς,συνιστάνοντες ἑαυτοὺς πρὸς πᾶσαν συνείδησιν ἀνθρώπων ἐνώπιον τοῦ θεοῦ.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Corinthians 6:7,ἐν λόγῳ,", ἐν δυνάμει θεοῦ· διὰ τῶν ὅπλων τῆς δικαιοσύνης τῶν δεξιῶν καὶ ἀριστερῶν,"
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,2 Corinthians 7:14,"ὅτι εἴ τι αὐτῷ ὑπὲρ ὑμῶν κεκαύχημαι, οὐ κατῃσχύνθην, ἀλλʼ ὡς πάντα ἐν","ἐλαλήσαμεν ὑμῖν, οὕτως καὶ ἡ καύχησις ἡμῶν ἡ ἐπὶ Τίτου ἀλήθεια ἐγενήθη."
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,2 Corinthians 7:14,"ἐν ἀληθείᾳ ἐλαλήσαμεν ὑμῖν, οὕτως καὶ ἡ καύχησις ἡμῶν ἡ ἐπὶ Τίτου",ἐγενήθη.
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,2 Corinthians 11:10,ἔστιν,Χριστοῦ ἐν ἐμοὶ ὅτι ἡ καύχησις αὕτη οὐ φραγήσεται εἰς ἐμὲ ἐν τοῖς κλίμασιν τῆς Ἀχαΐας.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,2 Corinthians 12:6,"Ἐὰν γὰρ θελήσω καυχήσασθαι, οὐκ ἔσομαι ἄφρων,","γὰρ ἐρῶ· φείδομαι δέ, μή τις εἰς ἐμὲ λογίσηται ὑπὲρ ὃ βλέπει με"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Corinthians 13:8,οὐ γὰρ δυνάμεθά τι κατὰ τῆς,ἀλλʼ ὑπὲρ τῆς ἀληθείας.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Corinthians 13:8,οὐ γὰρ δυνάμεθά τι κατὰ τῆς ἀληθείας ἀλλʼ ὑπὲρ τῆς,.
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,Galatians 2:5,"οἷς οὐδὲ πρὸς ὥραν εἴξαμεν τῇ ὑποταγῇ, ἵνα ἡ",τοῦ εὐαγγελίου διαμείνῃ πρὸς ὑμᾶς.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Galatians 2:14,ἀλλʼ ὅτε εἶδον ὅτι οὐκ ὀρθοποδοῦσιν πρὸς τὴν,"τοῦ εὐαγγελίου, εἶπον τῷ Κηφᾷ ἔμπροσθεν πάντων· εἰ σὺ Ἰουδαῖος ὑπάρχων ἐθνικῶς καὶ"
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Galatians 5:7,Ἐτρέχετε καλῶς· τίς ὑμᾶς ἐνέκοψεν [τῇ],μὴ πείθεσθαι;
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Ephesians 1:13,Ἐν ᾧ καὶ ὑμεῖς ἀκούσαντες τὸν λόγον τῆς,", τὸ εὐαγγέλιον τῆς σωτηρίας ὑμῶν, ἐν ᾧ καὶ πιστεύσαντες ἐσφραγίσθητε τῷ πνεύματι τῆς ἐπαγγελίας τῷ ἁγίῳ,"
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,Ephesians 4:21,"εἴ γε αὐτὸν ἠκούσατε καὶ ἐν αὐτῷ ἐδιδάχθητε, καθώς ἐστιν","ἐν τῷ Ἰησοῦ,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Ephesians 4:24,καὶ ἐνδύσασθαι τὸν καινὸν ἄνθρωπον τὸν κατὰ θεὸν κτισθέντα ἐν δικαιοσύνῃ καὶ ὁσιότητι τῆς,.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,Ephesians 4:25,Διὸ ἀποθέμενοι τὸ ψεῦδος λαλεῖτε,"ἕκαστος μετὰ τοῦ πλησίον αὐτοῦ, ὅτι ἐσμὲν ἀλλήλων μέλη."
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Ephesians 5:9,— ὁ γὰρ καρπὸς τοῦ φωτὸς ἐν πάσῃ ἀγαθωσύνῃ καὶ δικαιοσύνῃ καὶ,—
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Ephesians 6:14,στῆτε οὖν περιζωσάμενοι τὴν ὀσφὺν ὑμῶν ἐν,καὶ ἐνδυσάμενοι τὸν θώρακα τῆς δικαιοσύνης
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Philippians 1:18,"Τί γάρ; πλὴν ὅτι παντὶ τρόπῳ, εἴτε προφάσει εἴτε",", Χριστὸς καταγγέλλεται,  καὶ ἐν τούτῳ χαίρω.  Ἀλλὰ καὶ χαρήσομαι,"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,Colossians 1:5,"διὰ τὴν ἐλπίδα τὴν ἀποκειμένην ὑμῖν ἐν τοῖς οὐρανοῖς, ἣν προηκούσατε ἐν τῷ λόγῳ τῆς",τοῦ εὐαγγελίου
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,Colossians 1:6,"ὑμῖν, ἀφʼ ἧς ἡμέρας ἠκούσατε καὶ ἐπέγνωτε τὴν χάριν τοῦ θεοῦ ἐν",·
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Thessalonians 2:10,"καὶ ἐν πάσῃ ἀπάτῃ  ἀδικίας  τοῖς ἀπολλυμένοις, ἀνθʼ ὧν τὴν ἀγάπην τῆς",οὐκ ἐδέξαντο εἰς τὸ σωθῆναι αὐτούς.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,2 Thessalonians 2:12,ἵνα κριθῶσιν πάντες οἱ μὴ πιστεύσαντες τῇ,ἀλλʼ εὐδοκήσαντες  τῇ ἀδικίᾳ.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Thessalonians 2:13,εἵλατο ὑμᾶς ὁ θεὸς ἀπαρχὴν εἰς σωτηρίαν ἐν ἁγιασμῷ πνεύματος καὶ πίστει,","
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,1 Timothy 2:4,ὃς πάντας ἀνθρώπους θέλει σωθῆναι καὶ εἰς ἐπίγνωσιν,ἐλθεῖν.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,1 Timothy 2:7,"εἰς ὃ ἐτέθην ἐγὼ κῆρυξ καὶ ἀπόστολος,","λέγω  οὐ ψεύδομαι, διδάσκαλος ἐθνῶν ἐν πίστει καὶ ἀληθείᾳ."
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,1 Timothy 2:7,"εἰς ὃ ἐτέθην ἐγὼ κῆρυξ καὶ ἀπόστολος, ἀλήθειαν λέγω  οὐ ψεύδομαι, διδάσκαλος ἐθνῶν ἐν πίστει καὶ",.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,1 Timothy 3:15,"οἴκῳ θεοῦ ἀναστρέφεσθαι, ἥτις ἐστὶν ἐκκλησία θεοῦ ζῶντος, στῦλος καὶ ἑδραίωμα τῆς",.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,1 Timothy 4:3,"κωλυόντων γαμεῖν, ἀπέχεσθαι βρωμάτων, ἃ ὁ θεὸς ἔκτισεν εἰς μετάλημψιν μετὰ εὐχαριστίας τοῖς πιστοῖς καὶ ἐπεγνωκόσιν τὴν",.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,1 Timothy 6:5,διαπαρατριβαὶ διεφθαρμένων ἀνθρώπων τὸν νοῦν καὶ ἀπεστερημένων τῆς,", νομιζόντων πορισμὸν εἶναι τὴν εὐσέβειαν."
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Timothy 2:15,"σπούδασον σεαυτὸν δόκιμον παραστῆσαι τῷ θεῷ, ἐργάτην ἀνεπαίσχυντον, ὀρθοτομοῦντα τὸν λόγον τῆς",.
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,2 Timothy 2:18,οἵτινες περὶ τὴν,"ἠστόχησαν, λέγοντες [τὴν] ἀνάστασιν ἤδη γεγονέναι, καὶ ἀνατρέπουσιν τήν τινων πίστιν."
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Timothy 2:25,"ἐν πραΰτητι παιδεύοντα τοὺς ἀντιδιατιθεμένους, μήποτε δώῃ αὐτοῖς ὁ θεὸς μετάνοιαν εἰς ἐπίγνωσιν",*
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Timothy 3:7,πάντοτε μανθάνοντα καὶ μηδέποτε εἰς ἐπίγνωσιν,ἐλθεῖν δυνάμενα.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,2 Timothy 3:8,"ὃν τρόπον δὲ Ἰάννης καὶ Ἰαμβρῆς ἀντέστησαν Μωϋσεῖ, οὕτως καὶ οὗτοι ἀνθίστανται τῇ",", ἄνθρωποι κατεφθαρμένοι τὸν νοῦν, ἀδόκιμοι περὶ τὴν πίστιν."
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,2 Timothy 4:4,καὶ ἀπὸ μὲν τῆς,"τὴν ἀκοὴν ἀποστρέψουσιν, ἐπὶ δὲ τοὺς μύθους ἐκτραπήσονται."
