Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐσχήκαμεν,ἔχω,perfect,active,indicative,first person,plural,Romans 5:2,διʼ οὗ καὶ τὴν προσαγωγὴν,[τῇ πίστει] εἰς τὴν χάριν ταύτην ἐν ᾗ ἑστήκαμεν καὶ καυχώμεθα ἐπʼ ἐλπίδι τῆς δόξης τοῦ θεοῦ.
ἐσχήκαμεν,ἔχω,perfect,active,indicative,first person,plural,2 Corinthians 1:9,ἀλλʼ αὐτοὶ ἐν ἑαυτοῖς τὸ ἀπόκριμα τοῦ θανάτου,", ἵνα μὴ πεποιθότες ὦμεν ἐφʼ ἑαυτοῖς ἀλλʼ ἐπὶ τῷ θεῷ τῷ ἐγείροντι τοὺς νεκρούς·"
σχῶμεν,ἔχω,aorist,active,subjunctive,first person,plural,Matthew 21:38,οἱ δὲ γεωργοὶ ἰδόντες τὸν υἱὸν εἶπον ἐν ἑαυτοῖς· οὗτός ἐστιν ὁ κληρονόμος· δεῦτε ἀποκτείνωμεν αὐτὸν καὶ,"τὴν κληρονομίαν αὐτοῦ,"
σχῶμεν,ἔχω,aorist,active,subjunctive,first person,plural,1 John 2:28,"Καὶ νῦν, τεκνία, μένετε ἐν αὐτῷ, ἵνα ἐὰν φανερωθῇ,",παρρησίαν καὶ μὴ αἰσχυνθῶμεν ἀπʼ αὐτοῦ ἐν τῇ παρουσίᾳ αὐτοῦ.
σχῶ,ἔχω,aorist,active,subjunctive,first person,singular,Matthew 19:16,"Καὶ ἰδοὺ εἷς προσελθὼν αὐτῷ εἶπεν·  διδάσκαλε , τί ἀγαθὸν ποιήσω ἵνα",ζωὴν αἰώνιον;
σχῶ,ἔχω,aorist,active,subjunctive,first person,singular,Acts 25:26,"ἐφʼ ὑμῶν καὶ μάλιστα ἐπὶ σοῦ, βασιλεῦ Ἀγρίππα, ὅπως τῆς ἀνακρίσεως γενομένης",τί γράψω·
σχῶ,ἔχω,aorist,active,subjunctive,first person,singular,Romans 1:13,"προεθέμην ἐλθεῖν πρὸς ὑμᾶς, καὶ ἐκωλύθην ἄχρι τοῦ δεῦρο, ἵνα τινὰ καρπὸν",καὶ ἐν ὑμῖν καθὼς καὶ ἐν τοῖς λοιποῖς ἔθνεσιν.
σχῶ,ἔχω,aorist,active,subjunctive,first person,singular,2 Corinthians 2:3,"καὶ  ἔγραψα τοῦτο αὐτό, ἵνα μὴ ἐλθὼν λύπην","ἀφʼ ὧν ἔδει με χαίρειν, πεποιθὼς ἐπὶ πάντας ὑμᾶς ὅτι ἡ ἐμὴ χαρὰ πάντων ὑμῶν ἐστιν."
σχῶ,ἔχω,aorist,active,subjunctive,first person,singular,Philippians 2:27,"οὐκ αὐτὸν δὲ μόνον ἀλλὰ καὶ ἐμέ, ἵνα μὴ λύπην ἐπὶ λύπην",.
σχῆτε,ἔχω,aorist,active,subjunctive,second person,plural,2 Corinthians 1:15,"Καὶ ταύτῃ τῇ πεποιθήσει ἐβουλόμην πρότερον πρὸς ὑμᾶς ἐλθεῖν, ἵνα δευτέραν χάριν",","
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Hebrews 11:15,"καὶ εἰ μὲν ἐκείνης ἐμνημόνευον ἀφʼ ἧς ἐξέβησαν,",ἂν καιρὸν ἀνακάμψαι·
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Matthew 14:5,"καὶ θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν ὄχλον, ὅτι ὡς προφήτην αὐτὸν",.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Matthew 21:46,"καὶ ζητοῦντες αὐτὸν κρατῆσαι ἐφοβήθησαν τοὺς ὄχλους, ἐπεὶ εἰς προφήτην αὐτὸν",.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Matthew 27:16,—,δὲ τότε δέσμιον ἐπίσημον λεγόμενον [Ἰησοῦν] Βαραββᾶν.
εἶχον,ἔχω,imperfect,active,indicative,third person,plural,Mark 3:10,"πολλοὺς γὰρ ἐθεράπευσεν, ὥστε ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται ὅσοι",μάστιγας.
