Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
παιδία,παιδίον,—,—,—,—,neuter,accusative,plural,Luke 18:16,ὁ δὲ Ἰησοῦς προσεκαλέσατο αὐτὰ λέγων· ἄφετε τὰ,"ἔρχεσθαι πρός με καὶ μὴ κωλύετε αὐτά, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Luke 18:17,"ἀμὴν  λέγω ὑμῖν, ὃς ἂν μὴ δέξηται τὴν βασιλείαν τοῦ θεοῦ ὡς",", οὐ μὴ εἰσέλθῃ εἰς αὐτήν."
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,John 4:49,"λέγει πρὸς αὐτὸν ὁ βασιλικός· κύριε, κατάβηθι πρὶν ἀποθανεῖν τὸ",μου.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,John 16:21,"ἡ γυνὴ ὅταν τίκτῃ λύπην ἔχει, ὅτι ἦλθεν ἡ ὥρα αὐτῆς· ὅταν δὲ γεννήσῃ τὸ",", οὐκέτι μνημονεύει τῆς θλίψεως διὰ τὴν χαρὰν ὅτι ἐγεννήθη ἄνθρωπος εἰς τὸν κόσμον."
παιδία,παιδίον,—,—,—,—,neuter,vocative,plural,John 21:5,λέγει οὖν αὐτοῖς [ὁ] Ἰησοῦς·,", μή τι προσφάγιον ἔχετε; ἀπεκρίθησαν αὐτῷ· οὔ."
παιδία,παιδίον,—,—,—,—,neuter,nominative,plural,1 Corinthians 14:20,"Ἀδελφοί, μὴ","γίνεσθε ταῖς φρεσὶν ἀλλὰ τῇ κακίᾳ νηπιάζετε, ταῖς δὲ φρεσὶν τέλειοι γίνεσθε."
παιδία,παιδίον,—,—,—,—,neuter,nominative,plural,Hebrews 2:13,"καὶ πάλιν·      ἐγὼ ἔσομαι πεποιθὼς ἐπʼ αὐτῷ,  καὶ πάλιν·      ἰδοὺ ἐγὼ καὶ τὰ",ἅ μοι ἔδωκεν ὁ θεός.
παιδία,παιδίον,—,—,—,—,neuter,nominative,plural,Hebrews 2:14,Ἐπεὶ οὖν τὰ,"κεκοινώνηκεν αἵματος καὶ σαρκός, καὶ αὐτὸς παραπλησίως μετέσχεν τῶν αὐτῶν, ἵνα διὰ τοῦ"
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Hebrews 11:23,"Πίστει Μωϋσῆς γεννηθεὶς ἐκρύβη τρίμηνον ὑπὸ τῶν πατέρων αὐτοῦ, διότι εἶδον ἀστεῖον τὸ",καὶ οὐκ ἐφοβήθησαν τὸ διάταγμα τοῦ βασιλέως.
παιδία,παιδίον,—,—,—,—,neuter,vocative,plural,1 John 2:14,"ἔγραψα ὑμῖν,",", ὅτι ἐγνώκατε τὸν πατέρα.      ἔγραψα ὑμῖν, πατέρες, ὅτι ἐγνώκατε τὸν ἀπʼ ἀρχῆς.      ἔγραψα"
Παιδία,παιδίον,—,—,—,—,neuter,vocative,plural,1 John 2:18,—,", ἐσχάτη ὥρα ἐστίν, καὶ καθὼς ἠκούσατε ὅτι ἀντίχριστος ἔρχεται, καὶ νῦν ἀντίχριστοι πολλοὶ"
Παιδία,παιδίον,—,—,—,—,neuter,vocative,plural,1 John 3:7,—,", μηδεὶς πλανάτω ὑμᾶς· ὁ ποιῶν τὴν δικαιοσύνην δίκαιός ἐστιν, καθὼς ἐκεῖνος δίκαιός ἐστιν·"
